,node,community,local_role
761,1275,c4,Local Ultra-Peripheral
762,1276,c2,Local Ultra-Peripheral
763,1277,c4,Local Ultra-Peripheral
764,1278,c2,Local Peripheral
765,1279,c4,Local Ultra-Peripheral
766,1280,c2,Local Ultra-Peripheral
767,1281,c4,Local Peripheral
768,1282,c4,Local Peripheral
769,1283,c2,Local Peripheral
770,1284,c4,Local Peripheral
771,1285,c2,Local Ultra-Peripheral
772,1286,c4,Local Peripheral
773,1287,c2,Local Ultra-Peripheral
774,1288,c2,Local Ultra-Peripheral
775,1289,c2,Local Ultra-Peripheral
776,1290,c2,Local Ultra-Peripheral
777,1291,c2,Local Ultra-Peripheral
778,1292,c4,Local Ultra-Peripheral
779,1293,c2,Local Ultra-Peripheral
780,1294,c3,Local Peripheral
781,1295,c3,Local Connector
782,1296,c4,Local Peripheral
783,1297,c2,Local Peripheral
784,1298,c4,Local Peripheral
785,1299,c4,Local Peripheral
786,1300,c3,Local Peripheral
787,1301,c2,Local Peripheral
788,1302,c2,Local Ultra-Peripheral
789,1303,c4,Local Peripheral
790,1304,c4,Local Peripheral
791,1305,c2,Local Ultra-Peripheral
792,1306,c4,Local Peripheral
793,1307,c1,Local Peripheral
794,1308,c4,Local Peripheral
795,1309,c4,Local Peripheral
796,1310,c4,Local Peripheral
797,1311,c4,Local Peripheral
798,1312,c2,Local Ultra-Peripheral
799,1313,c3,Local Peripheral
800,1314,c1,Local Peripheral
801,1315,c4,Local Ultra-Peripheral
802,1316,c4,Local Peripheral
803,1317,c1,Local Connector
804,1318,c3,Local Peripheral
805,1319,c1,Local Peripheral
806,1320,c3,Local Peripheral
807,1321,c2,Local Ultra-Peripheral
808,1322,c4,Local Ultra-Peripheral
809,1323,c2,Local Ultra-Peripheral
810,1324,c4,Local Peripheral
811,1325,c1,Local Peripheral
812,1326,c2,Local Ultra-Peripheral
813,1327,c2,Local Peripheral
814,1328,c1,Local Peripheral
815,1329,c2,Local Ultra-Peripheral
816,1330,c2,Local Ultra-Peripheral
817,1331,c2,Local Ultra-Peripheral
818,1332,c3,Local Peripheral
819,1333,c1,Local Peripheral
820,1334,c2,Local Peripheral
821,1335,c2,Local Ultra-Peripheral
822,1336,c2,Local Ultra-Peripheral
823,1337,c2,Local Peripheral
824,1338,c4,Local Peripheral
825,1339,c2,Local Ultra-Peripheral
826,1340,c2,Local Ultra-Peripheral
827,1341,c2,Local Ultra-Peripheral
828,1342,c3,Local Peripheral
829,1343,c4,Local Peripheral
830,1344,c2,Local Ultra-Peripheral
831,1345,c4,Local Ultra-Peripheral
832,1346,c2,Local Ultra-Peripheral
833,1347,c4,Local Ultra-Peripheral
834,1348,c4,Local Peripheral
835,1349,c3,Local Peripheral
836,1350,c4,Local Peripheral
837,1351,c2,Local Ultra-Peripheral
838,1352,c2,Local Ultra-Peripheral
839,1353,c1,Local Connector
840,1354,c4,Local Peripheral
841,1355,c4,Local Peripheral
842,1356,c3,Local Peripheral
843,1357,c3,Local Peripheral
844,1358,c3,Local Peripheral
845,1359,c2,Local Ultra-Peripheral
846,1360,c1,Local Peripheral
847,1361,c2,Local Ultra-Peripheral
848,1362,c4,Local Peripheral
849,1363,c1,Local Peripheral
850,1364,c4,Local Peripheral
851,1365,c2,Local Ultra-Peripheral
852,1366,c4,Local Peripheral
853,1367,c2,Local Ultra-Peripheral
854,1368,c1,Local Peripheral
855,1369,c2,Local Peripheral
856,1370,c2,Local Ultra-Peripheral
857,1371,c1,Local Peripheral
858,1372,c3,Local Peripheral
859,1373,c4,Local Peripheral
860,1374,c3,Local Peripheral
861,1375,c2,Local Ultra-Peripheral
862,1376,c2,Local Ultra-Peripheral
863,1377,c2,Local Peripheral
864,1378,c1,Local Peripheral
865,1379,c4,Local Ultra-Peripheral
866,1380,c2,Local Ultra-Peripheral
867,1381,c4,Local Peripheral
868,1382,c4,Local Peripheral
869,1383,c2,Local Ultra-Peripheral
870,1384,c1,Local Connector
871,1385,c4,Local Peripheral
872,1386,c2,Local Ultra-Peripheral
873,1387,c2,Local Peripheral
874,1388,c2,Local Ultra-Peripheral
875,1389,c2,Local Ultra-Peripheral
876,1390,c2,Local Ultra-Peripheral
877,1391,c2,Local Ultra-Peripheral
878,1392,c4,Local Peripheral
879,1393,c2,Local Peripheral
880,1394,c1,Local Peripheral
881,1395,c2,Local Ultra-Peripheral
882,1396,c4,Local Peripheral
883,1397,c3,Local Peripheral
884,1398,c2,Local Ultra-Peripheral
885,1399,c2,Local Ultra-Peripheral
886,1400,c3,Local Peripheral
887,1401,c2,Local Peripheral
888,1402,c2,Local Ultra-Peripheral
889,1403,c1,Local Peripheral
890,1404,c4,Local Peripheral
891,1405,c2,Local Peripheral
892,1406,c4,Local Peripheral
893,1407,c2,Local Peripheral
894,1408,c4,Local Peripheral
895,1409,c2,Local Peripheral
896,1410,c1,Local Peripheral
897,1411,c2,Local Peripheral
898,1412,c4,Local Peripheral
899,1413,c4,Local Ultra-Peripheral
900,1414,c4,Local Peripheral
901,1415,c4,Local Peripheral
902,1416,c2,Local Ultra-Peripheral
903,1417,c4,Local Peripheral
904,1418,c4,Local Peripheral
905,1419,c2,Local Peripheral
906,1420,c2,Local Peripheral
907,1421,c1,Local Peripheral
908,1422,c3,Local Peripheral
909,1423,c4,Local Peripheral
910,1424,c1,Local Peripheral
911,1425,c3,Local Peripheral
912,1426,c4,Local Ultra-Peripheral
913,1427,c3,Local Peripheral
914,1428,c4,Local Peripheral
915,1429,c4,Local Peripheral
916,1430,c3,Local Peripheral
917,1431,c2,Local Ultra-Peripheral
918,1432,c4,Local Ultra-Peripheral
919,1433,c1,Local Peripheral
920,1434,c2,Local Peripheral
921,1435,c4,Local Peripheral
922,1436,c4,Local Peripheral
923,1437,c2,Local Ultra-Peripheral
924,1438,c4,Local Peripheral
925,1439,c2,Local Ultra-Peripheral
926,1440,c2,Local Peripheral
927,1441,c2,Local Peripheral
928,1442,c2,Local Ultra-Peripheral
929,1443,c3,Local Peripheral
930,1444,c4,Local Peripheral
931,1445,c1,Local Peripheral
932,1446,c3,Local Peripheral
933,1447,c2,Local Ultra-Peripheral
934,1448,c4,Local Peripheral
935,1449,c2,Local Ultra-Peripheral
936,1450,c7,Local Peripheral
937,1451,c4,Local Peripheral
938,1452,c1,Local Peripheral
939,1453,c3,Local Peripheral
940,1454,c4,Local Peripheral
941,1455,c3,Local Peripheral
942,1456,c2,Local Ultra-Peripheral
943,1457,c2,Local Ultra-Peripheral
944,1458,c2,Local Peripheral
945,1459,c4,Local Ultra-Peripheral
946,1460,c2,Local Ultra-Peripheral
947,1461,c2,Local Connector
948,1462,c4,Local Ultra-Peripheral
949,1463,c2,Local Peripheral
950,1464,c3,Local Peripheral
951,1465,c11,Local Peripheral
952,1466,c2,Local Ultra-Peripheral
953,1467,c2,Local Ultra-Peripheral
954,1468,c1,Local Peripheral
955,1469,c4,Local Peripheral
956,1470,c2,Local Ultra-Peripheral
957,1471,c2,Local Ultra-Peripheral
958,1472,c4,Local Ultra-Peripheral
959,1473,c4,Local Peripheral
960,1474,c4,Local Peripheral
961,1475,c4,Local Peripheral
962,1476,c2,Local Peripheral
963,1477,c2,Local Peripheral
964,1478,c3,Local Peripheral
965,1479,c4,Local Ultra-Peripheral
966,1480,c2,Local Ultra-Peripheral
967,1481,c4,Local Peripheral
968,1482,c4,Local Ultra-Peripheral
969,1483,c2,Local Ultra-Peripheral
970,1484,c2,Local Ultra-Peripheral
971,1485,c2,Local Ultra-Peripheral
972,1486,c2,Local Peripheral
973,1487,c3,Local Peripheral
974,1488,c2,Local Ultra-Peripheral
975,1489,c4,Local Peripheral
976,1490,c3,Local Peripheral
977,1491,c2,Local Ultra-Peripheral
978,1492,c4,Local Peripheral
979,1493,c1,Local Peripheral
980,1494,c1,Local Peripheral
981,1495,c4,Local Peripheral
982,1496,c4,Local Peripheral
983,1497,c3,Local Peripheral
984,1498,c2,Local Ultra-Peripheral
985,1499,c1,Local Peripheral
986,1500,c4,Local Peripheral
987,1501,c2,Local Ultra-Peripheral
988,1502,c4,Local Ultra-Peripheral
989,1503,c4,Local Peripheral
990,1504,c4,Local Ultra-Peripheral
991,1505,c7,Local Peripheral
992,1506,c3,Local Peripheral
993,1507,c4,Local Peripheral
994,1508,c4,Local Peripheral
995,1509,c2,Local Ultra-Peripheral
996,1510,c4,Local Connector
997,1511,c1,Local Peripheral
998,1512,c3,Local Peripheral
999,1513,c2,Local Ultra-Peripheral
1000,1514,c3,Local Peripheral
1001,1515,c4,Local Peripheral
1002,1516,c2,Local Ultra-Peripheral
1003,1517,c2,Local Ultra-Peripheral
1004,1518,c2,Local Peripheral
1005,1519,c2,Local Peripheral
1006,1520,c2,Local Ultra-Peripheral
1007,1521,c2,Local Ultra-Peripheral
1008,1522,c2,Local Ultra-Peripheral
1009,1523,c2,Local Peripheral
1010,1524,c2,Local Ultra-Peripheral
1011,1525,c4,Local Peripheral
1012,1526,c3,Local Peripheral
1013,1527,c2,Local Peripheral
1014,1528,c2,Local Peripheral
1015,1529,c4,Local Peripheral
1016,1530,c2,Local Ultra-Peripheral
1017,1531,c4,Local Peripheral
1018,1532,c2,Local Ultra-Peripheral
1019,1533,c1,Local Peripheral
1020,1534,c7,Local Peripheral
1021,1535,c2,Local Ultra-Peripheral
1022,1536,c4,Local Peripheral
1023,1537,c2,Local Peripheral
1024,1538,c2,Local Ultra-Peripheral
1025,1539,c2,Local Ultra-Peripheral
1026,1540,c2,Local Peripheral
1027,1541,c4,Local Peripheral
1028,1542,c2,Local Ultra-Peripheral
1029,1543,c3,Local Peripheral
1030,1544,c2,Local Peripheral
1031,1545,c3,Local Peripheral
1032,1546,c1,Local Peripheral
1033,1547,c2,Local Ultra-Peripheral
1034,1548,c1,Local Peripheral
1035,1549,c3,Local Peripheral
1036,1550,c4,Local Peripheral
1037,1551,c2,Local Ultra-Peripheral
1038,1552,c2,Local Peripheral
1039,1553,c1,Local Peripheral
1040,1554,c2,Local Ultra-Peripheral
1041,1555,c1,Local Peripheral
1042,1556,c2,Local Peripheral
1043,1557,c2,Local Ultra-Peripheral
1044,1558,c2,Local Ultra-Peripheral
1045,1559,c2,Local Ultra-Peripheral
1046,1560,c2,Local Ultra-Peripheral
1047,1561,c2,Local Peripheral
1048,1562,c1,Local Peripheral
1049,1563,c2,Local Ultra-Peripheral
1050,1564,c2,Local Peripheral
1051,1565,c3,Local Peripheral
1052,1566,c3,Local Peripheral
1053,1567,c1,Local Peripheral
1054,1568,c1,Local Peripheral
1055,1569,c4,Local Peripheral
1056,1570,c2,Local Ultra-Peripheral
1057,1571,c2,Local Ultra-Peripheral
1058,1572,c2,Local Ultra-Peripheral
1059,1573,c4,Local Peripheral
1060,1574,c3,Local Peripheral
1061,1575,c4,Local Peripheral
1062,1576,c4,Local Peripheral
1063,1577,c11,Local Peripheral
1064,1578,c4,Local Peripheral
1065,1579,c1,Local Peripheral
1066,1580,c2,Local Ultra-Peripheral
1067,1581,c2,Local Ultra-Peripheral
1068,1582,c4,Local Peripheral
1069,1583,c4,Local Ultra-Peripheral
1070,1584,c2,Local Peripheral
1071,1585,c2,Local Peripheral
1072,1586,c2,Local Ultra-Peripheral
1073,1587,c4,Local Ultra-Peripheral
1074,1588,c1,Local Peripheral
1075,1589,c2,Local Ultra-Peripheral
1076,1590,c2,Local Ultra-Peripheral
1077,1591,c4,Local Ultra-Peripheral
1078,1592,c4,Local Peripheral
1079,1593,c1,Local Peripheral
1080,1594,c2,Local Ultra-Peripheral
1081,1595,c4,Local Peripheral
1082,1596,c4,Local Peripheral
1083,1597,c2,Local Ultra-Peripheral
1084,1598,c2,Local Ultra-Peripheral
1085,1599,c3,Local Peripheral
1086,1600,c2,Local Ultra-Peripheral
1087,1601,c1,Local Peripheral
1088,1602,c3,Local Peripheral
1089,1603,c2,Local Ultra-Peripheral
1090,1604,c2,Local Peripheral
1091,1605,c2,Local Ultra-Peripheral
1092,1606,c3,Local Peripheral
1093,1607,c1,Local Peripheral
1094,1608,c2,Local Ultra-Peripheral
1095,1609,c2,Local Ultra-Peripheral
1096,1610,c2,Local Ultra-Peripheral
1097,1611,c4,Local Peripheral
1098,1612,c2,Local Ultra-Peripheral
1099,1613,c2,Local Ultra-Peripheral
1100,1614,c2,Local Ultra-Peripheral
1101,1615,c1,Local Peripheral
1102,1616,c3,Local Peripheral
1103,1617,c2,Local Ultra-Peripheral
1104,1618,c2,Local Peripheral
1105,1619,c2,Local Ultra-Peripheral
1106,1620,c2,Local Peripheral
1107,1621,c2,Local Ultra-Peripheral
1108,1622,c2,Local Ultra-Peripheral
1109,1623,c2,Local Ultra-Peripheral
1110,1624,c4,Local Peripheral
1111,1625,c3,Local Peripheral
1112,1626,c2,Local Peripheral
1113,1627,c2,Local Ultra-Peripheral
1114,1628,c4,Local Peripheral
1115,1629,c1,Local Peripheral
1116,1630,c4,Local Peripheral
1117,1631,c3,Local Peripheral
1118,1632,c2,Local Ultra-Peripheral
1119,1633,c4,Local Peripheral
1120,1634,c4,Local Peripheral
1121,1635,c4,Local Peripheral
1122,1636,c4,Local Peripheral
1123,1637,c2,Local Ultra-Peripheral
1124,1638,c4,Local Peripheral
1125,1639,c2,Local Ultra-Peripheral
1126,1640,c4,Local Peripheral
1127,1641,c1,Local Peripheral
1128,1642,c7,Local Peripheral
1129,1643,c2,Local Ultra-Peripheral
1130,1644,c2,Local Ultra-Peripheral
1131,1645,c3,Local Peripheral
1132,1646,c4,Local Connector
1133,1647,c4,Local Peripheral
1134,1648,c1,Local Peripheral
1135,1649,c4,Local Peripheral
1136,1650,c4,Local Peripheral
1137,1651,c2,Local Ultra-Peripheral
1138,1652,c2,Local Ultra-Peripheral
1139,1653,c2,Local Ultra-Peripheral
1140,1654,c3,Local Peripheral
1141,1655,c4,Local Ultra-Peripheral
1142,1656,c7,Local Connector
1143,1657,c3,Local Peripheral
1144,1658,c4,Local Peripheral
1145,1659,c2,Local Ultra-Peripheral
1146,1660,c3,Local Peripheral
1147,1661,c4,Local Peripheral
1148,1662,c2,Local Ultra-Peripheral
1149,1663,c2,Local Ultra-Peripheral
1150,1664,c4,Local Peripheral
1151,1665,c2,Local Ultra-Peripheral
1152,1666,c7,Local Peripheral
1153,1667,c4,Local Peripheral
1154,1668,c2,Local Ultra-Peripheral
1155,1669,c2,Local Ultra-Peripheral
1156,1670,c2,Local Peripheral
1157,1671,c3,Local Peripheral
1158,1672,c4,Local Peripheral
1159,1673,c3,Local Peripheral
1160,1674,c2,Local Peripheral
1161,1675,c2,Local Peripheral
1162,1676,c1,Local Peripheral
1163,1677,c3,Local Peripheral
1164,1678,c2,Local Peripheral
1165,1679,c3,Local Peripheral
1166,1680,c4,Local Peripheral
1167,1681,c4,Local Peripheral
1168,1682,c4,Local Peripheral
1169,1683,c2,Local Peripheral
1170,1685,c2,Local Ultra-Peripheral
1171,1686,c4,Local Peripheral
1172,1687,c1,Local Peripheral
1173,1688,c2,Local Peripheral
1174,1689,c2,Local Ultra-Peripheral
1175,1690,c4,Local Peripheral
1176,1691,c4,Local Ultra-Peripheral
1177,1692,c3,Local Peripheral
1178,1693,c1,Local Peripheral
1179,1694,c3,Local Peripheral
1180,1695,c3,Local Peripheral
1181,1696,c3,Local Peripheral
1182,1697,c2,Local Peripheral
1183,1698,c1,Local Peripheral
1184,1699,c4,Local Peripheral
1185,1700,c2,Local Peripheral
1186,1701,c2,Local Peripheral
1187,1702,c2,Local Peripheral
1188,1703,c4,Local Peripheral
1189,1704,c4,Local Peripheral
1190,1705,c1,Local Peripheral
1191,1706,c4,Local Peripheral
1192,1707,c2,Local Ultra-Peripheral
1193,1708,c1,Local Peripheral
1194,1709,c4,Local Peripheral
1195,1710,c2,Local Peripheral
1196,1711,c2,Local Peripheral
1197,1712,c2,Local Ultra-Peripheral
1198,1713,c4,Local Connector
1199,1714,c2,Local Ultra-Peripheral
1200,1715,c4,Local Peripheral
1201,1716,c4,Local Peripheral
1202,1717,c2,Local Ultra-Peripheral
1203,1718,c11,Local Peripheral
1204,1719,c1,Local Peripheral
1205,1720,c4,Local Peripheral
1206,1721,c2,Local Ultra-Peripheral
1207,1722,c2,Local Ultra-Peripheral
1208,1723,c2,Local Ultra-Peripheral
1209,1724,c2,Local Peripheral
1210,1725,c4,Local Ultra-Peripheral
1211,1726,c7,Local Peripheral
1212,1727,c4,Local Peripheral
1213,1728,c4,Local Peripheral
1214,1729,c4,Local Peripheral
1215,1730,c2,Local Ultra-Peripheral
1216,1731,c3,Local Peripheral
1217,1732,c4,Local Peripheral
1218,1733,c1,Local Peripheral
1219,1734,c2,Local Ultra-Peripheral
1220,1735,c2,Local Ultra-Peripheral
1221,1736,c2,Local Ultra-Peripheral
1222,1737,c2,Local Ultra-Peripheral
1223,1738,c4,Local Peripheral
1224,1739,c4,Local Peripheral
1225,1740,c3,Local Peripheral
1226,1741,c2,Local Ultra-Peripheral
1227,1742,c4,Local Ultra-Peripheral
1228,1743,c3,Local Peripheral
1229,1744,c3,Local Peripheral
1230,1745,c4,Local Peripheral
1231,1746,c2,Local Ultra-Peripheral
1232,1747,c1,Local Peripheral
1233,1748,c4,Local Peripheral
1234,1749,c4,Local Peripheral
1235,1750,c2,Local Ultra-Peripheral
1236,1751,c4,Local Peripheral
1237,1752,c2,Local Ultra-Peripheral
1238,1753,c2,Local Ultra-Peripheral
1239,1754,c2,Local Ultra-Peripheral
1240,1755,c4,Local Peripheral
1241,1756,c4,Local Peripheral
1242,1757,c2,Local Ultra-Peripheral
1243,1758,c7,Local Connector
1244,1759,c4,Local Peripheral
1245,1760,c1,Local Connector
1246,1761,c2,Local Peripheral
1247,1762,c3,Local Connector
1248,1763,c3,Local Peripheral
1249,1764,c4,Local Peripheral
1250,1765,c2,Local Ultra-Peripheral
1251,1766,c3,Local Ultra-Peripheral
1252,1767,c3,Local Peripheral
1253,1768,c2,Local Ultra-Peripheral
1254,1769,c2,Local Peripheral
1255,1770,c4,Local Peripheral
1256,1771,c2,Local Ultra-Peripheral
1257,1772,c2,Local Ultra-Peripheral
1258,1773,c3,Local Peripheral
1259,1774,c2,Local Ultra-Peripheral
1260,1775,c2,Local Ultra-Peripheral
1261,1776,c3,Local Peripheral
1262,1777,c3,Local Peripheral
1263,1778,c3,Local Peripheral
1264,1779,c2,Local Ultra-Peripheral
1265,1780,c2,Local Peripheral
1266,1781,c4,Local Peripheral
1267,1782,c2,Local Ultra-Peripheral
1268,1783,c4,Local Ultra-Peripheral
1269,1784,c1,Local Peripheral
1270,1785,c4,Local Peripheral
1271,1786,c4,Local Ultra-Peripheral
1272,1787,c1,Local Peripheral
1273,1788,c1,Local Peripheral
1274,1789,c2,Local Ultra-Peripheral
1275,1790,c4,Local Peripheral
1276,1791,c2,Local Ultra-Peripheral
1277,1792,c2,Local Peripheral
1278,1793,c2,Local Ultra-Peripheral
1279,1794,c4,Local Peripheral
1280,1795,c2,Local Ultra-Peripheral
1281,1796,c2,Local Ultra-Peripheral
1282,1797,c2,Local Ultra-Peripheral
1283,1798,c1,Local Peripheral
1284,1799,c2,Local Ultra-Peripheral
1285,1800,c2,Local Ultra-Peripheral
1286,1801,c3,Local Peripheral
1287,1802,c1,Local Peripheral
1288,1803,c1,Local Peripheral
1289,1804,c2,Local Ultra-Peripheral
1290,1805,c2,Local Ultra-Peripheral
1291,1806,c1,Local Peripheral
1292,1807,c4,Local Peripheral
1293,1808,c3,Local Peripheral
1294,1809,c2,Local Ultra-Peripheral
1295,1810,c2,Local Ultra-Peripheral
1296,1811,c2,Local Ultra-Peripheral
1297,1812,c4,Local Peripheral
1298,1813,c2,Local Peripheral
1299,1814,c3,Local Peripheral
1300,1815,c4,Local Peripheral
1301,1816,c2,Local Ultra-Peripheral
1302,1817,c2,Local Peripheral
1303,1818,c4,Local Peripheral
1304,1819,c2,Local Ultra-Peripheral
1305,1820,c4,Local Peripheral
1306,1821,c2,Local Ultra-Peripheral
1307,1822,c2,Local Peripheral
1308,1823,c2,Local Ultra-Peripheral
1309,1824,c4,Local Peripheral
1310,1825,c1,Local Peripheral
1311,1826,c2,Local Ultra-Peripheral
1312,1827,c2,Local Ultra-Peripheral
1313,1828,c4,Local Peripheral
1314,1829,c3,Local Peripheral
1315,1830,c4,Local Peripheral
1316,1831,c3,Local Peripheral
1317,1832,c2,Local Ultra-Peripheral
1318,1833,c2,Local Ultra-Peripheral
1319,1834,c2,Local Ultra-Peripheral
1320,1835,c2,Local Ultra-Peripheral
1321,1836,c2,Local Peripheral
1322,1837,c1,Local Peripheral
1323,1838,c2,Local Peripheral
1324,1839,c2,Local Ultra-Peripheral
1325,1840,c4,Local Peripheral
1326,1841,c4,Local Ultra-Peripheral
1327,1842,c2,Local Ultra-Peripheral
1328,1843,c2,Local Ultra-Peripheral
1329,1844,c3,Local Peripheral
1330,1845,c2,Local Ultra-Peripheral
1331,1846,c2,Local Peripheral
1332,1847,c4,Local Peripheral
1333,1848,c4,Local Peripheral
1334,1849,c2,Local Ultra-Peripheral
1335,1850,c4,Local Peripheral
1336,1851,c2,Local Ultra-Peripheral
1337,1852,c2,Local Peripheral
1338,1853,c3,Local Peripheral
1339,1854,c2,Local Ultra-Peripheral
1340,1855,c4,Local Peripheral
1341,1856,c2,Local Ultra-Peripheral
1342,1857,c4,Local Ultra-Peripheral
1343,1858,c2,Local Peripheral
1344,1859,c4,Local Peripheral
1345,1860,c2,Local Ultra-Peripheral
1346,1861,c2,Local Peripheral
1347,1862,c4,Local Ultra-Peripheral
1348,1863,c2,Local Ultra-Peripheral
1349,1864,c2,Local Ultra-Peripheral
1350,1865,c2,Local Ultra-Peripheral
1351,1866,c1,Local Peripheral
1352,1867,c2,Local Peripheral
1353,1868,c2,Local Ultra-Peripheral
1354,1869,c4,Local Peripheral
1355,1870,c3,Local Peripheral
1356,1871,c4,Local Peripheral
1357,1872,c4,Local Peripheral
1358,1873,c4,Local Ultra-Peripheral
1359,1874,c2,Local Ultra-Peripheral
1360,1875,c4,Local Peripheral
1361,1876,c4,Local Peripheral
1362,1877,c2,Local Ultra-Peripheral
1363,1878,c3,Local Peripheral
1364,1879,c2,Local Ultra-Peripheral
1365,1880,c1,Local Peripheral
1366,1881,c3,Local Peripheral
1367,1882,c3,Local Peripheral
1368,1883,c2,Local Peripheral
1369,1884,c4,Local Peripheral
1370,1885,c4,Local Connector
1371,1886,c2,Local Ultra-Peripheral
1372,1887,c4,Local Peripheral
1373,1888,c2,Local Ultra-Peripheral
1374,1889,c1,Local Peripheral
1375,1890,c2,Local Ultra-Peripheral
1376,1891,c2,Local Ultra-Peripheral
1377,1892,c1,Local Peripheral
1378,1893,c4,Local Peripheral
1379,1894,c4,Local Peripheral
1380,1895,c1,Local Peripheral
1381,1896,c1,Local Peripheral
1382,1897,c4,Local Peripheral
1383,1898,c2,Local Ultra-Peripheral
1384,1899,c4,Local Ultra-Peripheral
1385,1900,c2,Local Ultra-Peripheral
1386,1901,c3,Local Peripheral
1387,1902,c2,Local Ultra-Peripheral
1388,1903,c4,Local Ultra-Peripheral
1389,1904,c4,Local Peripheral
1390,1905,c2,Local Ultra-Peripheral
1391,1906,c4,Local Peripheral
1392,1907,c4,Local Peripheral
1393,1908,c1,Local Peripheral
1394,1909,c2,Local Ultra-Peripheral
1395,1910,c3,Local Peripheral
1396,1911,c2,Local Ultra-Peripheral
1397,1926,c11,Local Ultra-Peripheral
1398,1932,c11,Local Ultra-Peripheral
1399,1939,c11,Local Ultra-Peripheral
1400,1945,c11,Local Ultra-Peripheral
1401,1951,c10,Local Peripheral
1402,1955,c11,Local Ultra-Peripheral
1403,1972,c10,Local Peripheral
1404,1973,c10,Local Peripheral
1405,1976,c10,Local Peripheral
1406,1991,c10,Local Peripheral
1407,1995,c10,Local Peripheral
1408,1998,c10,Local Peripheral
1409,2001,c10,Local Peripheral
1410,2004,c10,Local Peripheral
1411,2007,c11,Local Peripheral
1412,2009,c10,Local Peripheral
1413,2018,c10,Local Peripheral
1414,2024,c10,Local Peripheral
1415,2027,c10,Local Peripheral
1416,2032,c11,Local Ultra-Peripheral
1417,2038,c11,Local Ultra-Peripheral
1418,2039,c11,Local Ultra-Peripheral
1419,2042,c11,Local Ultra-Peripheral
1420,2054,c11,Local Ultra-Peripheral
1421,2068,c11,Local Ultra-Peripheral
1422,2071,c11,Local Peripheral
1423,2072,c11,Local Ultra-Peripheral
1424,2081,c11,Local Peripheral
1425,2102,c11,Local Peripheral
1426,2111,c11,Local Ultra-Peripheral
1427,2116,c10,Local Peripheral
1428,2117,c11,Local Ultra-Peripheral
1429,2127,c11,Local Ultra-Peripheral
1430,2128,c11,Local Peripheral
1431,2133,c11,Local Ultra-Peripheral
1432,2135,c11,Local Ultra-Peripheral
1433,2138,c11,Local Ultra-Peripheral
1434,2143,c11,Local Peripheral
1435,2153,c11,Local Peripheral
1436,2157,c10,Local Peripheral
1437,2171,c10,Local Peripheral
1438,2174,c11,Local Ultra-Peripheral
1439,2180,c11,Local Ultra-Peripheral
1440,2183,c11,Local Ultra-Peripheral
1441,2187,c11,Local Ultra-Peripheral
1442,2189,c11,Local Peripheral
1443,2199,c11,Local Ultra-Peripheral
1444,2203,c11,Local Ultra-Peripheral
1445,2223,c11,Local Peripheral
1446,2224,c11,Local Ultra-Peripheral
1447,2225,c10,Local Peripheral
1448,2247,c11,Local Ultra-Peripheral
1449,2250,c11,Local Ultra-Peripheral
1450,2254,c11,Local Ultra-Peripheral
1451,2264,c11,Local Ultra-Peripheral
1452,2267,c11,Local Ultra-Peripheral
1453,2268,c11,Local Peripheral
1454,2279,c11,Local Peripheral
1455,2283,c11,Local Ultra-Peripheral
1456,2284,c10,Local Peripheral
1457,2289,c11,Local Ultra-Peripheral
1458,2292,c11,Local Peripheral
1459,2302,c11,Local Peripheral
1460,2319,c11,Local Peripheral
1461,2327,c11,Local Ultra-Peripheral
1462,2336,c11,Local Peripheral
1463,2337,c10,Local Peripheral
1464,2364,c10,Local Peripheral
1465,2378,c10,Local Peripheral
1466,2384,c11,Local Peripheral
1467,2398,c11,Local Peripheral
1468,2417,c11,Local Peripheral
1469,2436,c11,Local Ultra-Peripheral
1470,2445,c11,Local Ultra-Peripheral
1471,2447,c10,Local Peripheral
1472,2451,c11,Local Peripheral
1473,2458,c11,Local Ultra-Peripheral
1474,2459,c10,Local Peripheral
1475,2461,c11,Local Ultra-Peripheral
1476,2463,c11,Local Ultra-Peripheral
1477,2471,c11,Local Ultra-Peripheral
1478,2472,c11,Local Peripheral
1479,2475,c11,Local Ultra-Peripheral
1480,2491,c11,Local Ultra-Peripheral
1481,2494,c10,Local Peripheral
1482,2498,c11,Local Ultra-Peripheral
1483,2502,c11,Local Ultra-Peripheral
1484,2508,c11,Local Ultra-Peripheral
1485,2510,c11,Local Peripheral
1486,2511,c11,Local Ultra-Peripheral
1487,2529,c11,Local Peripheral
1488,2533,c11,Local Peripheral
1489,2538,c10,Local Peripheral
1490,2543,c13,Local Peripheral
1491,2547,c11,Local Peripheral
1492,2571,c11,Local Peripheral
1493,2583,c10,Local Peripheral
1494,2589,c11,Local Ultra-Peripheral
1495,2598,c11,Local Ultra-Peripheral
1496,2617,c11,Local Ultra-Peripheral
1497,2629,c11,Local Peripheral
1498,2635,c11,Local Peripheral
1499,2636,c10,Local Peripheral
1500,2640,c10,Local Peripheral
1501,2643,c11,Local Ultra-Peripheral
1502,2647,c10,Local Peripheral
1503,2649,c11,Local Ultra-Peripheral
1504,2653,c11,Local Ultra-Peripheral
1505,2660,c10,Local Peripheral
1506,2704,c0,Local Peripheral
1507,2740,c0,Local Peripheral
1508,427,c3,Local Ultra-Peripheral
1509,464,c3,Local Ultra-Peripheral
1510,549,c3,Local Ultra-Peripheral
1511,351,c3,Local Ultra-Peripheral
