,node,reason,meaning,target
833,1347,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
834,1348,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
835,1349,Has few internal connections and limited engagement within c3 community.,Is locally isolated within c3 community.,To support local inclusion and re-engagement.
836,1350,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
837,1351,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
838,1352,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
839,1353,Links to different parts of the c1 community.,Acts as a local bridge that provides internal connections for better information flow.,To improve internal information flow efficiency for c1 community.
840,1354,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
841,1355,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
842,1356,Has few internal connections and limited engagement within c3 community.,Is locally isolated within c3 community.,To support local inclusion and re-engagement.
843,1357,Has few internal connections and limited engagement within c3 community.,Is locally isolated within c3 community.,To support local inclusion and re-engagement.
844,1358,Has few internal connections and limited engagement within c3 community.,Is locally isolated within c3 community.,To support local inclusion and re-engagement.
845,1359,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
846,1360,Has few internal connections and limited engagement within c1 community.,Is locally isolated within c1 community.,To support local inclusion and re-engagement.
847,1361,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
848,1362,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
849,1363,Has few internal connections and limited engagement within c1 community.,Is locally isolated within c1 community.,To support local inclusion and re-engagement.
850,1364,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
851,1365,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
852,1366,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
853,1367,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
854,1368,Has few internal connections and limited engagement within c1 community.,Is locally isolated within c1 community.,To support local inclusion and re-engagement.
855,1369,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
856,1370,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
857,1371,Has few internal connections and limited engagement within c1 community.,Is locally isolated within c1 community.,To support local inclusion and re-engagement.
858,1372,Has few internal connections and limited engagement within c3 community.,Is locally isolated within c3 community.,To support local inclusion and re-engagement.
859,1373,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
860,1374,Has few internal connections and limited engagement within c3 community.,Is locally isolated within c3 community.,To support local inclusion and re-engagement.
861,1375,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
862,1376,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
863,1377,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
864,1378,Has few internal connections and limited engagement within c1 community.,Is locally isolated within c1 community.,To support local inclusion and re-engagement.
865,1379,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
866,1380,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
867,1381,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
868,1382,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
869,1383,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
870,1384,Links to different parts of the c1 community.,Acts as a local bridge that provides internal connections for better information flow.,To improve internal information flow efficiency for c1 community.
871,1385,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
872,1386,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
873,1387,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
874,1388,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
875,1389,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
876,1390,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
877,1391,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
878,1392,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
879,1393,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
880,1394,Has few internal connections and limited engagement within c1 community.,Is locally isolated within c1 community.,To support local inclusion and re-engagement.
881,1395,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
882,1396,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
883,1397,Has few internal connections and limited engagement within c3 community.,Is locally isolated within c3 community.,To support local inclusion and re-engagement.
884,1398,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
885,1399,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
886,1400,Has few internal connections and limited engagement within c3 community.,Is locally isolated within c3 community.,To support local inclusion and re-engagement.
887,1401,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
888,1402,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
889,1403,Has few internal connections and limited engagement within c1 community.,Is locally isolated within c1 community.,To support local inclusion and re-engagement.
890,1404,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
891,1405,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
892,1406,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
893,1407,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
894,1408,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
895,1409,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
896,1410,Has few internal connections and limited engagement within c1 community.,Is locally isolated within c1 community.,To support local inclusion and re-engagement.
897,1411,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
898,1412,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
899,1413,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
900,1414,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
901,1415,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
902,1416,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
903,1417,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
904,1418,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
905,1419,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
906,1420,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
907,1421,Has few internal connections and limited engagement within c1 community.,Is locally isolated within c1 community.,To support local inclusion and re-engagement.
908,1422,Has few internal connections and limited engagement within c3 community.,Is locally isolated within c3 community.,To support local inclusion and re-engagement.
909,1423,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
910,1424,Has few internal connections and limited engagement within c1 community.,Is locally isolated within c1 community.,To support local inclusion and re-engagement.
911,1425,Has few internal connections and limited engagement within c3 community.,Is locally isolated within c3 community.,To support local inclusion and re-engagement.
912,1426,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
913,1427,Has few internal connections and limited engagement within c3 community.,Is locally isolated within c3 community.,To support local inclusion and re-engagement.
914,1428,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
915,1429,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
916,1430,Has few internal connections and limited engagement within c3 community.,Is locally isolated within c3 community.,To support local inclusion and re-engagement.
917,1431,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
918,1432,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
919,1433,Has few internal connections and limited engagement within c1 community.,Is locally isolated within c1 community.,To support local inclusion and re-engagement.
920,1434,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
921,1435,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
922,1436,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
923,1437,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
924,1438,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
925,1439,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
926,1440,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
927,1441,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
928,1442,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
929,1443,Has few internal connections and limited engagement within c3 community.,Is locally isolated within c3 community.,To support local inclusion and re-engagement.
930,1444,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
931,1445,Has few internal connections and limited engagement within c1 community.,Is locally isolated within c1 community.,To support local inclusion and re-engagement.
932,1446,Has few internal connections and limited engagement within c3 community.,Is locally isolated within c3 community.,To support local inclusion and re-engagement.
933,1447,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
934,1448,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
935,1449,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
936,1450,Has few internal connections and limited engagement within c7 community.,Is locally isolated within c7 community.,To support local inclusion and re-engagement.
937,1451,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
938,1452,Has few internal connections and limited engagement within c1 community.,Is locally isolated within c1 community.,To support local inclusion and re-engagement.
939,1453,Has few internal connections and limited engagement within c3 community.,Is locally isolated within c3 community.,To support local inclusion and re-engagement.
940,1454,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
941,1455,Has few internal connections and limited engagement within c3 community.,Is locally isolated within c3 community.,To support local inclusion and re-engagement.
942,1456,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
943,1457,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
944,1458,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
945,1459,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
946,1460,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
947,1461,Links to different parts of the c2 community.,Acts as a local bridge that provides internal connections for better information flow.,To improve internal information flow efficiency for c2 community.
948,1462,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
949,1463,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
950,1464,Has few internal connections and limited engagement within c3 community.,Is locally isolated within c3 community.,To support local inclusion and re-engagement.
951,1465,Has few internal connections and limited engagement within c11 community.,Is locally isolated within c11 community.,To support local inclusion and re-engagement.
952,1466,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
953,1467,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
954,1468,Has few internal connections and limited engagement within c1 community.,Is locally isolated within c1 community.,To support local inclusion and re-engagement.
955,1469,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
956,1470,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
957,1471,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
958,1472,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
959,1473,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
960,1474,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
961,1475,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
962,1476,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
963,1477,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
964,1478,Has few internal connections and limited engagement within c3 community.,Is locally isolated within c3 community.,To support local inclusion and re-engagement.
965,1479,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
966,1480,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
967,1481,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
968,1482,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
969,1483,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
970,1484,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
971,1485,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
972,1486,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
973,1487,Has few internal connections and limited engagement within c3 community.,Is locally isolated within c3 community.,To support local inclusion and re-engagement.
974,1488,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
975,1489,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
976,1490,Has few internal connections and limited engagement within c3 community.,Is locally isolated within c3 community.,To support local inclusion and re-engagement.
977,1491,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
978,1492,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
979,1493,Has few internal connections and limited engagement within c1 community.,Is locally isolated within c1 community.,To support local inclusion and re-engagement.
980,1494,Has few internal connections and limited engagement within c1 community.,Is locally isolated within c1 community.,To support local inclusion and re-engagement.
981,1495,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
982,1496,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
983,1497,Has few internal connections and limited engagement within c3 community.,Is locally isolated within c3 community.,To support local inclusion and re-engagement.
984,1498,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
985,1499,Has few internal connections and limited engagement within c1 community.,Is locally isolated within c1 community.,To support local inclusion and re-engagement.
986,1500,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
987,1501,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
988,1502,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
989,1503,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
990,1504,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
991,1505,Has few internal connections and limited engagement within c7 community.,Is locally isolated within c7 community.,To support local inclusion and re-engagement.
992,1506,Has few internal connections and limited engagement within c3 community.,Is locally isolated within c3 community.,To support local inclusion and re-engagement.
993,1507,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
994,1508,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
995,1509,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
996,1510,Links to different parts of the c4 community.,Acts as a local bridge that provides internal connections for better information flow.,To improve internal information flow efficiency for c4 community.
997,1511,Has few internal connections and limited engagement within c1 community.,Is locally isolated within c1 community.,To support local inclusion and re-engagement.
998,1512,Has few internal connections and limited engagement within c3 community.,Is locally isolated within c3 community.,To support local inclusion and re-engagement.
999,1513,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1000,1514,Has few internal connections and limited engagement within c3 community.,Is locally isolated within c3 community.,To support local inclusion and re-engagement.
1001,1515,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
1002,1516,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1003,1517,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1004,1518,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1005,1519,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1006,1520,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1007,1521,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1008,1522,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1009,1523,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1010,1524,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1011,1525,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
1012,1526,Has few internal connections and limited engagement within c3 community.,Is locally isolated within c3 community.,To support local inclusion and re-engagement.
1013,1527,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1014,1528,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1015,1529,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
1016,1530,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1017,1531,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
1018,1532,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1019,1533,Has few internal connections and limited engagement within c1 community.,Is locally isolated within c1 community.,To support local inclusion and re-engagement.
1020,1534,Has few internal connections and limited engagement within c7 community.,Is locally isolated within c7 community.,To support local inclusion and re-engagement.
1021,1535,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1022,1536,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
1023,1537,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1024,1538,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1025,1539,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1026,1540,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1027,1541,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
1028,1542,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1029,1543,Has few internal connections and limited engagement within c3 community.,Is locally isolated within c3 community.,To support local inclusion and re-engagement.
1030,1544,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1031,1545,Has few internal connections and limited engagement within c3 community.,Is locally isolated within c3 community.,To support local inclusion and re-engagement.
1032,1546,Has few internal connections and limited engagement within c1 community.,Is locally isolated within c1 community.,To support local inclusion and re-engagement.
1033,1547,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1034,1548,Has few internal connections and limited engagement within c1 community.,Is locally isolated within c1 community.,To support local inclusion and re-engagement.
1035,1549,Has few internal connections and limited engagement within c3 community.,Is locally isolated within c3 community.,To support local inclusion and re-engagement.
1036,1550,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
1037,1551,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1038,1552,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1039,1553,Has few internal connections and limited engagement within c1 community.,Is locally isolated within c1 community.,To support local inclusion and re-engagement.
1040,1554,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1041,1555,Has few internal connections and limited engagement within c1 community.,Is locally isolated within c1 community.,To support local inclusion and re-engagement.
1042,1556,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1043,1557,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1044,1558,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1045,1559,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1046,1560,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1047,1561,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1048,1562,Has few internal connections and limited engagement within c1 community.,Is locally isolated within c1 community.,To support local inclusion and re-engagement.
1049,1563,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1050,1564,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1051,1565,Has few internal connections and limited engagement within c3 community.,Is locally isolated within c3 community.,To support local inclusion and re-engagement.
1052,1566,Has few internal connections and limited engagement within c3 community.,Is locally isolated within c3 community.,To support local inclusion and re-engagement.
1053,1567,Has few internal connections and limited engagement within c1 community.,Is locally isolated within c1 community.,To support local inclusion and re-engagement.
1054,1568,Has few internal connections and limited engagement within c1 community.,Is locally isolated within c1 community.,To support local inclusion and re-engagement.
1055,1569,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
1056,1570,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1057,1571,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1058,1572,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1059,1573,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
1060,1574,Has few internal connections and limited engagement within c3 community.,Is locally isolated within c3 community.,To support local inclusion and re-engagement.
1061,1575,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
1062,1576,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
1063,1577,Has few internal connections and limited engagement within c11 community.,Is locally isolated within c11 community.,To support local inclusion and re-engagement.
1064,1578,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
1065,1579,Has few internal connections and limited engagement within c1 community.,Is locally isolated within c1 community.,To support local inclusion and re-engagement.
1066,1580,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1067,1581,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1068,1582,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
1069,1583,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
1070,1584,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1071,1585,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1072,1586,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1073,1587,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
1074,1588,Has few internal connections and limited engagement within c1 community.,Is locally isolated within c1 community.,To support local inclusion and re-engagement.
1075,1589,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1076,1590,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1077,1591,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
1078,1592,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
1079,1593,Has few internal connections and limited engagement within c1 community.,Is locally isolated within c1 community.,To support local inclusion and re-engagement.
1080,1594,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1081,1595,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
1082,1596,Has few internal connections and limited engagement within c4 community.,Is locally isolated within c4 community.,To support local inclusion and re-engagement.
1083,1597,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1084,1598,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1085,1599,Has few internal connections and limited engagement within c3 community.,Is locally isolated within c3 community.,To support local inclusion and re-engagement.
1086,1600,Has few internal connections and limited engagement within c2 community.,Is locally isolated within c2 community.,To support local inclusion and re-engagement.
1087,1601,Has few internal connections and limited engagement within c1 community.,Is locally isolated within c1 community.,To support local inclusion and re-engagement.
1088,1602,Has few internal connections and limited engagement within c3 community.,Is locally isolated within c3 community.,To support local inclusion and re-engagement.
